,NEIGH DISTRICT,TOTAL POP,POP SQ MILE,AVG SQ MILE,JOBS
0,NPU A,12506,11.43,1094,6521
1,NPU B,48709,10.18,4785,91833
2,NPU C,18226,6.05,3013,6370
3,NPU D,11361,6.49,1751,17068
4,NPU E,45375,5.91,7678,99242
5,NPU F,25661,6,4277,11200
6,NPU G,8266,5.62,1471,3675
7,NPU H,15452,6.39,2418,2424
8,NPU I,23650,9.59,2466,3349
9,NPU J,10160,4.44,2288,3397
10,NPU K,9973,2.39,4173,2478
11,NPU L,6970,1.32,5280,1883
12,NPU M,30647,3.78,8108,131381
13,NPU N,19039,3.44,5535,6426
14,NPU O,14946,3.89,3842,3910
15,NPU P,20528,9.39,2186,4087
16,NPU Q,2852,1.67,1708,145
17,NPU R,18753,5.39,3479,2550
18,NPU S,10775,3.88,2777,661
19,NPU T,17260,2.74,6299,4965
20,NPU V,15542,3.17,4903,3790
21,NPU W,21502,1.52,14146,6790
22,NPU X,12777,4.36,2931,26031
23,NPU Y,10369,3.29,3152,1762
24,NPU Z,19840,10.48,1893,5450
